name,category,NORAD ID,Int'l Code,Perigee,Apogee,Inclination,Period,Semi major axis,RCS,Launch date,Source,Launch site
NAVSTAR 33 (USA 92),Global Positioning System (GPS) Constellation,22700,1993-042A,"21,195.2 km","21,244.6 km",55.0 &deg,760.2 minutes,27590 km,3.4011 m,1993,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
FLOCK 1C 10,Flock,40023,2014-033P,595.1 km,614.5 km,97.9 &deg,96.6 minutes,6975 km,Unknown,2014,United States (US),"Orenburg, Russia (OREN)"
FLOCK 1C 7,CubeSats,40026,2014-033S,593.9 km,611.0 km,97.9 &deg,96.6 minutes,6973 km,Unknown,2014,United States (US),"Orenburg, Russia (OREN)"
FLOCK 1C 1,CubeSats,40027,2014-033T,595.0 km,614.3 km,97.9 &deg,96.6 minutes,6975 km,Unknown,2014,United States (US),"Orenburg, Russia (OREN)"
RADIO 8,Amateur radio,12998,1981-120B,"1,659.3 km","1,688.5 km",83.0 &deg,119.7 minutes,8044 km,0.8671 m,1981,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
CHINASAT 6A,Geostationary,37150,2010-042A,"35,790.8 km","35,797.4 km",0.0 &deg,"1,436.1 minutes",42165 km,50.1187 m,2010,People's Republic of China (PRC),"Xichang Space Center, China (XSC)"
ODERACS C,Engineering,22992,1994-006D,,,,,,,1994,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
SJ-11-05,Experimental,39202,2013-035A,689.9 km,705.2 km,98.1 &deg,98.6 minutes,7068 km,Unknown,2013,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
SYNCOM 1,Geostationary,553,1963-004A,"29,017.8 km","34,551.2 km",31.1 &deg,"1,236.2 minutes",38155 km,0.003 m,1963,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
CELESTIS 04/TAURUS R/B,Celestis,26034,1999-070C,534.8 km,551.5 km,98.2 &deg,95.4 minutes,6914 km,1.2202 m,1999,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
LEMUR 1,CubeSats,40044,2014-033AL,612.3 km,697.3 km,97.7 &deg,97.7 minutes,7025 km,Unknown,2014,United States (US),"Orenburg, Russia (OREN)"
SHENZHOU-11 MODULE,Brightest,41868,2016-061G,284.6 km,304.0 km,42.8 &deg,90.3 minutes,6665 km,Unknown,2016,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
BREEZE-M DEB (TANK),Brightest,28116,2003-056E,306.0 km,"18,446.6 km",52.9 &deg,327.8 minutes,15747 km,6.743 m,2003,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
YAOGAN 1,Yaogan,29092,2006-015A,625.8 km,627.8 km,97.9 &deg,97.1 minutes,6997 km,4.215 m,2006,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
WESTFORD NEEDLES,Westford Needles,602,1963-014E,"3,575.1 km","3,697.3 km",87.4 &deg,166.0 minutes,10007 km,0.4983 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,628,1963-014F,"3,621.1 km","3,711.0 km",87.3 &deg,166.8 minutes,10037 km,0.4773 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,629,1963-014G,"3,516.8 km","3,781.2 km",87.3 &deg,166.4 minutes,10019 km,1.0881 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,702,1963-014H,"3,404.2 km","3,891.3 km",87.3 &deg,166.3 minutes,10018 km,0.867 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
